trade_index,timestamp,bucket_start_trade,bucket_abs_volume,bucket_net_volume,order_imbalance,bucket_number,vpin_daily,vpin_5day,vpin_7day
5,2025-03-01 00:09:00,5,750.4481320877378,750.4481320877378,1.0,0,1.0,1.0,1.0
12,2025-03-01 00:20:00,11,750.4481320877378,748.347152366281,0.9972003665121906,1,0.9986001832560953,0.9986001832560953,0.9986001832560953
21,2025-03-01 00:34:00,19,750.4481320877378,741.6985960727865,0.988340918391508,2,0.9951804283012328,0.9951804283012328,0.9951804283012328
27,2025-03-01 00:42:00,24,750.4481320877378,716.5198335439113,0.9547892824392296,3,0.985082641835732,0.985082641835732,0.985082641835732
36,2025-03-01 01:31:00,32,750.4481320877378,297.5218832200585,0.39645895632034706,4,0.867357904732655,0.867357904732655,0.867357904732655
40,2025-03-01 01:44:00,35,750.4481320877378,-691.8610545513042,0.9219305438559157,5,0.8764533445865318,0.8764533445865318,0.8764533445865318
44,2025-03-01 01:56:00,38,750.4481320877378,-686.55526758784,0.9148603857242624,6,0.8819400647490647,0.8819400647490647,0.8819400647490647
47,2025-03-01 02:00:00,40,750.4481320877378,-721.6287174705253,0.9615970599633086,7,0.8918971891508451,0.8918971891508451,0.8918971891508451
53,2025-03-01 02:14:00,45,750.4481320877378,-192.70110020077547,0.25678137097187953,8,0.8213287649087379,0.8213287649087379,0.8213287649087379
63,2025-03-01 03:01:00,54,750.4481320877378,-134.90589711699005,0.1797671169380933,9,0.7571726001116733,0.7571726001116733,0.7571726001116733
71,2025-03-01 04:31:00,61,750.4481320877378,162.87336152956146,0.2170348016943552,10,0.7080691638919171,0.7080691638919171,0.7080691638919171
85,2025-03-01 05:59:00,74,750.4481320877378,713.25393133933,0.9504373464893118,11,0.7282665124416999,0.7282665124416999,0.7282665124416999
100,2025-03-01 07:16:00,88,750.4481320877378,724.8491311602752,0.9658883807782338,12,0.7465451176983564,0.7465451176983564,0.7465451176983564
105,2025-03-01 07:23:00,92,750.4481320877378,726.0044846381652,0.967427932185572,13,0.7623224615903004,0.7623224615903004,0.7623224615903004
109,2025-03-01 07:27:00,95,750.4481320877378,712.7187998724554,0.9497242639403741,14,0.7748159150803052,0.7748159150803052,0.7748159150803052
117,2025-03-01 08:23:00,102,750.4481320877378,-705.2744098789806,0.9398043378653173,15,0.7851276915043687,0.7851276915043687,0.7851276915043687
126,2025-03-01 09:34:00,110,750.4481320877378,-142.20971346322932,0.18949972340873658,16,0.7500907522046256,0.7500907522046256,0.7500907522046256
135,2025-03-01 09:49:00,118,750.4481320877378,660.0033922893608,0.8794790260230766,17,0.757278989638984,0.757278989638984,0.757278989638984
139,2025-03-01 10:26:00,121,750.4481320877378,-122.00473549227507,0.16257584005554035,18,0.7259788238714343,0.7259788238714343,0.7259788238714343
149,2025-03-01 12:19:00,130,750.4481320877378,-498.62462844630284,0.6644358312401085,19,0.7229016742398681,0.7229016742398681,0.7229016742398681
158,2025-03-01 13:00:00,138,750.4481320877378,-724.4952061018295,0.9654167624966863,20,0.734450011775907,0.734450011775907,0.734450011775907
167,2025-03-01 14:11:00,146,750.4481320877378,-633.7237373987371,0.844460410122849,21,0.7394504844280406,0.7394504844280406,0.7394504844280406
171,2025-03-01 14:51:00,149,750.4481320877378,-710.551886777378,0.9468367717841218,22,0.7484672795304789,0.7484672795304789,0.7484672795304789
182,2025-03-01 16:40:00,159,750.4481320877378,-43.051458486694884,0.05736766692579571,23,0.7196714623386172,0.7196714623386172,0.7196714623386172
189,2025-03-01 17:42:00,165,750.4481320877378,-457.49059511174795,0.6096232045231621,24,0.7152695320259991,0.7152695320259991,0.7152695320259991
199,2025-03-01 18:13:00,174,750.4481320877378,-746.0215313890199,0.9941013902101359,25,0.7259938342638506,0.7259938342638506,0.7259938342638506
203,2025-03-01 18:30:00,177,750.4481320877378,-723.7962532995582,0.9644853819356783,26,0.7348268545479923,0.7348268545479923,0.7348268545479923
