trade_index,timestamp,bucket_start_trade,bucket_abs_volume,bucket_net_volume,order_imbalance,bucket_number,vpin_daily,vpin_5day,vpin_7day
57,2025-05-01 01:04:00,57,1810613.7177126608,671149.9674126611,0.37067540185242903,0,0.37067540185242903,0.37067540185242903,0.37067540185242903
103,2025-05-01 01:54:00,102,1810613.7177126608,291463.8354001285,0.16097516137695747,1,0.26582528161469327,0.26582528161469327,0.26582528161469327
125,2025-05-01 02:17:00,123,1810613.7177126608,545931.3456060742,0.3015172923221561,2,0.2777226185171809,0.2777226185171809,0.2777226185171809
166,2025-05-01 03:03:00,163,1810613.7177126608,-376493.7940659444,0.2079371156767591,3,0.26027624280707545,0.26027624280707545,0.26027624280707545
215,2025-05-01 03:55:00,211,1810613.7177126608,-105280.22342229058,0.05814615364523503,4,0.21985022497470735,0.21985022497470735,0.21985022497470735
297,2025-05-01 05:29:00,292,1810613.7177126608,-62444.46736474159,0.03448801185690086,5,0.18895652278840627,0.18895652278840627,0.18895652278840627
352,2025-05-01 06:37:00,346,1810613.7177126608,88110.24674250242,0.04866319407643263,6,0.16891461868669574,0.16891461868669574,0.16891461868669574
418,2025-05-01 07:54:00,411,1810613.7177126608,223739.26956631208,0.12357095684051304,7,0.16324666095592288,0.16324666095592288,0.16324666095592288
468,2025-05-01 08:52:00,460,1810613.7177126608,331209.3013909948,0.1829265393003925,8,0.1654333141053084,0.1654333141053084,0.1654333141053084
525,2025-05-01 09:53:00,516,1810613.7177126608,406485.0889844593,0.22450127545590998,9,0.17134011024036855,0.17134011024036855,0.17134011024036855
553,2025-05-01 10:22:00,543,1810613.7177126608,988895.799508682,0.5461660816079252,10,0.20541519854651008,0.20541519854651008,0.20541519854651008
568,2025-05-01 10:37:00,557,1810613.7177126608,90091.8654035345,0.04975763992186422,11,0.1924437353277896,0.1924437353277896,0.1924437353277896
591,2025-05-01 11:00:00,579,1810613.7177126608,884522.6006645623,0.4885208766572117,12,0.21521890004543745,0.21521890004543745,0.21521890004543745
609,2025-05-01 11:18:00,596,1810613.7177126608,-469415.8477987205,0.2592578655549629,13,0.218364540438975,0.218364540438975,0.218364540438975
645,2025-05-01 11:54:00,631,1810613.7177126608,51818.87573330426,0.02861950907936718,14,0.2057148716816678,0.2057148716816678,0.2057148716816678
680,2025-05-01 12:31:00,665,1810613.7177126608,-83242.15899522143,0.045974554473375374,15,0.1957311018561495,0.1957311018561495,0.1957311018561495
726,2025-05-01 13:17:00,710,1810613.7177126608,67011.83087072235,0.03701056178640801,16,0.1863945994991059,0.1863945994991059,0.1863945994991059
744,2025-05-01 13:35:00,727,1810613.7177126608,-909046.4642923997,0.5020653800418532,17,0.20393186508481406,0.20393186508481406,0.20393186508481406
759,2025-05-01 13:50:00,741,1810613.7177126608,140591.161319052,0.0776483464936188,18,0.1972853641063301,0.1972853641063301,0.1972853641063301
781,2025-05-01 14:12:00,762,1810613.7177126608,-27292.01021369145,0.015073347753141576,19,0.18817476328867067,0.18817476328867067,0.18817476328867067
809,2025-05-01 14:40:00,789,1810613.7177126608,352287.36910263577,0.19456793332355762,20,0.18847919995699863,0.18847919995699863,0.18847919995699863
838,2025-05-01 15:10:00,817,1810613.7177126608,671753.4328789206,0.37100869517742485,21,0.1967759951942907,0.1967759951942907,0.1967759951942907
843,2025-05-01 15:15:00,821,1810613.7177126608,1133717.2085662512,0.6261507893569206,22,0.2154444645057094,0.2154444645057094,0.2154444645057094
869,2025-05-01 15:41:00,846,1810613.7177126608,-304030.3707901308,0.1679156452952377,23,0.21346409703860644,0.21346409703860644,0.21346409703860644
897,2025-05-01 16:09:00,873,1810613.7177126608,-204850.19304186926,0.11313854028492366,24,0.20945107476845912,0.20945107476845912,0.20945107476845912
932,2025-05-01 16:44:00,907,1810613.7177126608,614835.6449934926,0.339573062425602,25,0.21445576660142615,0.21445576660142615,0.21445576660142615
972,2025-05-01 17:25:00,946,1810613.7177126608,-563444.1500265761,0.3111895952817436,26,0.21803850099699348,0.21803850099699348,0.21803850099699348
1001,2025-05-01 17:54:00,974,1810613.7177126608,-559872.5275500611,0.3092169920469537,27,0.2212948756773492,0.2212948756773492,0.2212948756773492
1054,2025-05-01 18:48:00,1026,1810613.7177126608,27367.984359057213,0.015115308191540187,28,0.21418523541921788,0.21418523541921788,0.21418523541921788
1112,2025-05-01 19:51:00,1083,1810613.7177126608,-351451.57775992696,0.19410632666801728,29,0.21351593846084455,0.21351593846084455,0.21351593846084455
1145,2025-05-01 20:25:00,1115,1810613.7177126608,-184526.54941275777,0.10191381386741576,30,0.20991586992557265,0.20991586992557265,0.20991586992557265
1184,2025-05-01 21:08:00,1153,1810613.7177126608,-376212.67119023204,0.20778185181624473,31,0.20984918185965612,0.20984918185965612,0.20984918185965612
1229,2025-05-01 21:53:00,1197,1810613.7177126608,95814.08104072724,0.05291801343567013,32,0.20509369190741414,0.20509369190741414,0.20509369190741414
1292,2025-05-01 22:59:00,1259,1810613.7177126608,-716976.4544066304,0.39598532110558793,33,0.21070815158971334,0.21070815158971334,0.21070815158971334
1354,2025-05-02 00:08:00,1320,1810613.7177126608,-137779.5111682971,0.07609547515322775,34,0.20686207512009946,0.20686207512009946,0.20686207512009946
1385,2025-05-02 00:39:00,1350,1810613.7177126608,402208.053122829,0.22213907317069068,35,0.20728643617706033,0.20728643617706033,0.20728643617706033
1433,2025-05-02 01:31:00,1397,1810613.7177126608,48850.944796191296,0.02698032402952544,36,0.20241329801091074,0.20241329801091074,0.20241329801091074
1488,2025-05-02 02:27:00,1451,1810613.7177126608,278727.6431761358,0.1539409761725715,37,0.20113771059411234,0.20113771059411234,0.20113771059411234
1570,2025-05-02 04:01:00,1532,1810613.7177126608,-20972.5348601326,0.01158310834330091,38,0.19627733617742488,0.19627733617742488,0.19627733617742488
1629,2025-05-02 05:05:00,1590,1810613.7177126608,-293135.4876694673,0.16189841311916264,39,0.1954178631009683,0.1954178631009683,0.1954178631009683
1687,2025-05-02 06:06:00,1647,1810613.7177126608,-764972.901572695,0.42249370701724354,40,0.20095629831843842,0.20095629831843842,0.20095629831843842
1738,2025-05-02 07:04:00,1697,1810613.7177126608,-17197.63938844669,0.009498237652906099,41,0.19639777306449718,0.19639777306449718,0.19639777306449718
1765,2025-05-02 07:33:00,1723,1810613.7177126608,-682741.0909612246,0.37707716686457454,42,0.20059961943194085,0.20059961943194085,0.20059961943194085
1820,2025-05-02 08:33:00,1777,1810613.7177126608,77050.57843284488,0.0425549512185197,43,0.19700769515436312,0.19700769515436312,0.19700769515436312
1896,2025-05-02 10:03:00,1852,1810613.7177126608,-88472.01240373628,0.04886299686025937,44,0.1937155907478275,0.1937155907478275,0.1937155907478275
1945,2025-05-02 10:56:00,1900,1810613.7177126608,604602.7614967349,0.33392145192654704,45,0.19676354425171272,0.19676354425171272,0.19676354425171272
2025,2025-05-02 12:24:00,1979,1810613.7177126608,-123222.46375208869,0.06805563359353922,46,0.19402507806749628,0.19402507806749628,0.19402507806749628
2038,2025-05-02 12:37:00,1991,1810613.7177126608,-55598.07777682712,0.03070675828473447,47,0.190622613072022,0.190622613072022,0.190622613072022
2078,2025-05-02 13:21:00,2030,1810613.7177126608,258802.73188470947,0.14293646919435343,48,0.18964942646227365,0.18964942646227365,0.18964942646227365
2112,2025-05-02 13:55:00,2063,1810613.7177126608,-147345.9046725644,0.08137898394954488,49,0.18748401761201908,0.18748401761201908,0.18748401761201908
2133,2025-05-02 14:17:00,2083,1810613.7177126608,452644.7388988843,0.2499952002300679,50,0.18507041357957185,0.18870972707511807,0.18870972707511807
2163,2025-05-02 14:48:00,2112,1810613.7177126608,221518.02719516313,0.12234416707888734,51,0.18429779369361046,0.18743346630595978,0.18743346630595978
2192,2025-05-02 15:17:00,2140,1810613.7177126608,77271.14494746525,0.0426767698662316,52,0.17912098324449197,0.1847022078825687,0.1847022078825687
2222,2025-05-02 15:49:00,2169,1810613.7177126608,-335691.22092203365,0.1854018986148579,53,0.17867027890325396,0.18471516511835182,0.18471516511835182
2237,2025-05-02 16:04:00,2183,1810613.7177126608,1457683.7422550465,0.8050771558808971,54,0.19360889894796718,0.19599447404130718,0.19599447404130718
2251,2025-05-02 16:18:00,2196,1810613.7177126608,-88175.08833675264,0.04869900601887839,55,0.19389311883120672,0.19336419782662098,0.19336419782662098
2275,2025-05-02 16:43:00,2219,1810613.7177126608,-538467.8337749813,0.29739520280185716,56,0.19886775900571524,0.19518930317706373,0.19518930317706373
2305,2025-05-02 17:15:00,2248,1810613.7177126608,-664911.5265670508,0.367229917713774,57,0.20374093822318046,0.19815552066907596,0.19815552066907596
2345,2025-05-02 17:56:00,2287,1810613.7177126608,415290.1184805057,0.22936428373310883,58,0.20466969311183475,0.19868448275490702,0.19868448275490702
2408,2025-05-02 19:06:00,2349,1810613.7177126608,-440274.52789320383,0.24316314605712833,59,0.20504293052385913,0.19942579380994405,0.19942579380994405
2449,2025-05-02 19:49:00,2389,1810613.7177126608,-1040671.4172317984,0.5747616993350041,60,0.20561484287840073,0.2055788414415024,0.2055788414415024
2516,2025-05-02 20:59:00,2455,1810613.7177126608,879387.6373868494,0.4856848419870448,61,0.21433338691970433,0.2100966801599789,0.2100966801599789
2569,2025-05-02 21:59:00,2507,1810613.7177126608,-589733.3798661028,0.32570910851769647,62,0.211077151556914,0.21193179807041884,0.21193179807041884
2643,2025-05-02 23:18:00,2580,1810613.7177126608,97169.00216580542,0.053666334909114974,63,0.20696532094399708,0.20945890020852348,0.20945890020852348
2731,2025-05-03 01:09:00,2667,1810613.7177126608,-353104.69838613103,0.1950193434037418,64,0.21029331763048456,0.2092367531807576,0.2092367531807576
2806,2025-05-03 02:45:00,2741,1810613.7177126608,-244974.55373443922,0.13529918134272967,65,0.2120798101678716,0.20811648694078747,0.20811648694078747
2942,2025-05-03 05:53:00,2876,1810613.7177126608,-91818.60132104876,0.05071131430344112,66,0.21235382521821233,0.2057671560059017,0.2057671560059017
3011,2025-05-03 07:19:00,2944,1810613.7177126608,-429002.17799287103,0.23693743938647904,67,0.20705126640510482,0.20622554252620431,0.20622554252620431
3101,2025-05-03 09:16:00,3033,1810613.7177126608,-297874.5095789379,0.1645157697994475,68,0.2087886148712214,0.20562105306639625,0.20562105306639625
3150,2025-05-03 10:16:00,3081,1810613.7177126608,259320.55434349415,0.1432224619788546,69,0.21135159715573565,0.20472964462228851,0.20472964462228851
3220,2025-05-03 11:36:00,3150,1810613.7177126608,-293803.51467546803,0.1622673637128015,70,0.21070558576352055,0.2041315843277887,0.2041315843277887
3311,2025-05-03 13:18:00,3240,1810613.7177126608,432861.4281421176,0.2390688990741489,71,0.20806678984145502,0.20461682481037705,0.20461682481037705
3395,2025-05-03 14:58:00,3323,1810613.7177126608,-131106.73780374852,0.07241010963364124,72,0.19699197624698944,0.20280577391754503,0.20280577391754503
3487,2025-05-03 16:45:00,3414,1810613.7177126608,-488445.21559411427,0.2697677648279196,73,0.1990290186376431,0.20371066568660415,0.20371066568660415
3518,2025-05-03 17:19:00,3444,1810613.7177126608,-910935.8575786889,0.50310888991246,74,0.20682842563019382,0.20770264200961555,0.20770264200961555
3569,2025-05-03 18:12:00,3494,1810613.7177126608,778734.5931680882,0.43009427441644466,75,0.20863884987001063,0.2106288476991791,0.2106288476991791
3638,2025-05-03 19:40:00,3562,1810613.7177126608,693650.3395380705,0.3831023330665778,76,0.21007710462570736,0.21286876309356093,0.21286876309356093
3724,2025-05-03 21:22:00,3647,1810613.7177126608,450567.8174001898,0.2488481187303661,77,0.2088697271593756,0.21333003688377636,0.21333003688377636
3775,2025-05-03 22:18:00,3697,1810613.7177126608,-395575.83238496707,0.21847610482300778,78,0.21293694309200498,0.21339517698427296,0.21339517698427296
3834,2025-05-03 23:28:00,3755,1810613.7177126608,-399543.14493001235,0.22066724725512032,79,0.213468161503747,0.21348607786265855,0.21348607786265855
3881,2025-05-04 00:20:00,3801,1810613.7177126608,479328.49745898123,0.26473261125211983,80,0.21672453745144105,0.21411875111438033,0.21411875111438033
