trade_index,timestamp,bucket_start_trade,bucket_abs_volume,bucket_net_volume,order_imbalance,bucket_number,vpin_daily,vpin_5day,vpin_7day
57,2025-05-01 01:04:00,57,1.8106137177126609e-06,6.711499674126607e-07,0.3706754018524288,0,0.3706754018524288,0.3706754018524288,0.3706754018524288
103,2025-05-01 01:54:00,102,1.8106137177126609e-06,2.914638354001289e-07,0.1609751613769577,1,0.26582528161469327,0.26582528161469327,0.26582528161469327
125,2025-05-01 02:17:00,123,1.8106137177126609e-06,5.459313456060742e-07,0.3015172923221561,2,0.2777226185171809,0.2777226185171809,0.2777226185171809
166,2025-05-01 03:03:00,163,1.8106137177126609e-06,-3.7649379406594454e-07,0.20793711567675915,3,0.26027624280707545,0.26027624280707545,0.26027624280707545
215,2025-05-01 03:55:00,211,1.8106137177126609e-06,-1.052802234222916e-07,0.05814615364523559,4,0.2198502249747075,0.2198502249747075,0.2198502249747075
297,2025-05-01 05:29:00,292,1.8106137177126609e-06,-6.244446736474315e-08,0.034488011856901715,5,0.18895652278840655,0.18895652278840655,0.18895652278840655
352,2025-05-01 06:37:00,346,1.8106137177126609e-06,8.811024674250375e-08,0.048663194076433366,6,0.16891461868669608,0.16891461868669608,0.16891461868669608
418,2025-05-01 07:54:00,411,1.8106137177126609e-06,2.2373926956631232e-07,0.12357095684051317,7,0.16324666095592322,0.16324666095592322,0.16324666095592322
468,2025-05-01 08:52:00,460,1.8106137177126609e-06,3.31209301390998e-07,0.18292653930039424,8,0.1654333141053089,0.1654333141053089,0.1654333141053089
525,2025-05-01 09:53:00,516,1.8106137177126609e-06,4.064850889844585e-07,0.22450127545590953,9,0.17134011024036894,0.17134011024036894,0.17134011024036894
553,2025-05-01 10:22:00,543,1.8106137177126609e-06,9.88895799508675e-07,0.5461660816079213,10,0.20541519854651008,0.20541519854651008,0.20541519854651008
568,2025-05-01 10:37:00,557,1.8106137177126609e-06,9.009186540353504e-08,0.04975763992186453,11,0.1924437353277896,0.1924437353277896,0.1924437353277896
591,2025-05-01 11:00:00,579,1.8106137177126609e-06,8.8452260066457e-07,0.48852087665721594,12,0.2152189000454378,0.2152189000454378,0.2152189000454378
609,2025-05-01 11:18:00,596,1.8106137177126609e-06,-4.6941584779872814e-07,0.25925786555496705,13,0.2183645404389756,0.2183645404389756,0.2183645404389756
645,2025-05-01 11:54:00,631,1.8106137177126609e-06,5.181887573329987e-08,0.028619509079364752,14,0.20571487168166822,0.20571487168166822,0.20571487168166822
680,2025-05-01 12:31:00,665,1.8106137177126609e-06,-8.32421589952132e-08,0.04597455447337083,15,0.19573110185614961,0.19573110185614961,0.19573110185614961
726,2025-05-01 13:17:00,710,1.8106137177126609e-06,6.701183087071322e-08,0.03701056178640297,16,0.1863945994991057,0.1863945994991057,0.1863945994991057
744,2025-05-01 13:35:00,727,1.8106137177126609e-06,-9.090464642923974e-07,0.5020653800418519,17,0.2039318650848138,0.2039318650848138,0.2039318650848138
759,2025-05-01 13:50:00,741,1.8106137177126609e-06,1.4059116131904935e-07,0.07764834649361735,18,0.1972853641063298,0.1972853641063298,0.1972853641063298
781,2025-05-01 14:12:00,762,1.8106137177126609e-06,-2.729201021368541e-08,0.015073347753138238,19,0.18817476328867022,0.18817476328867022,0.18817476328867022
809,2025-05-01 14:40:00,789,1.8106137177126609e-06,3.522873691026465e-07,0.19456793332356354,20,0.18847919995699847,0.18847919995699847,0.18847919995699847
