quarter,volume_bin,last_price_impact,abs_tradevolume,timestamp,ILLIQ,price_impact_per_unit
2025Q2,0.0,5.888490380085031e-07,8.426914266755888e-11,1868,7257212754.803018,6987.718390959643
2025Q2,1.0,6.370149923443882e-06,6.499332676295503e-10,1868,9886958528.60129,9801.236897254423
2025Q2,2.0,2.5427013008546482e-05,2.8024974959652035e-09,1868,8991522475.869698,9072.983310477217
2025Q2,3.0,7.949270934306912e-05,9.196996575489292e-09,1868,8642318266.016964,8643.33358076085
2025Q2,4.0,0.0001586643912760239,1.9053729312937903e-08,1868,8335504270.438678,8327.209265447436
2025Q2,5.0,0.0002655444401583198,3.178939794678522e-08,1867,8352875486.571209,8353.239045383481
2025Q2,6.0,0.00039773262766217135,4.801406084719165e-08,1868,8284049399.241641,8283.669838466387
2025Q2,7.0,0.0005731044012316622,7.057176405687045e-08,1868,8130014896.459312,8120.873962705884
2025Q2,8.0,0.0008714971452636122,1.0913965268432119e-07,1868,7999531246.642967,7985.155933969816
2025Q2,9.0,0.0017539265342617874,3.0352925770325485e-07,1868,7484309270.861219,5778.44306520366
